exporter_name,exporter_address,exporter_city,exporter_state,exporter_country,exporterLAT,exporterLONG,hazWasteDesc,extra,totalQuantityinShipment,,units,ExpectedManagementMethod,receivingfacilityzipcode,ReceivingFacilityEPAIDNumber,importer_name,importer_address,importer_city,importer_state,latitude,longitude
CLEAN HARBORS CANADA INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,WASTE NOT REGULATED BY TDG (EMPTY PAINT CANS),75,75,K,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,WASTE PAINT RELATED MATERIAL,287,287,K,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,WASTE PAINT RELATED MATERIAL,1099,1099,K,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,"WASTE FLAMMABLE LIQUIDS, NOS (PAINT)",200,200,K,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,"WASTE FLAMMABLE LIQUIDS, NOS (PAINT/PETROLEUM DISTILLATES)",50,50,K,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,"WASTE FLAMMABLE LIQUIDS, NOS (PAINT SOLIDS)",548,548,K,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,WASTE PAINT RELATED MATERIAL (PAINT SOLIDS),330,330,K,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,WASTE PAINT RELATED MATERIAL (PAINT),374,374,K,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,"WASTE FLAMMABLE LIQUIDS, NOS (PAINT)",443,443,K,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,WASTE PAINT RELATED MATERIAL (PAINT SOLIDS),181,181,K,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,WASTE PAINT RELATED MATERIAL,30,30,K,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,WASTE PAINT (PAINT SLUDGE),412,412,K,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,"WASTE FLAMMABLE LIQUIDS, NOS (PAINT SLUDGE)",412,412,K,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,WASTE PAINT,483,483,K,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,"WASTE FLAMMABLE LIQUIDS, NOS (PAINT RELATED MATERIAL)",8,8,K,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,WASTE PAINT,100,100,K,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,400 GALIBEAU STREET,THURSO,QUEBEC,CANADA,45.6024895,-75.2441864,toluene,"WASTE SOLIDS CONTAINING FLAMMABLE LIQUID, NOS (DIBASIC ESTER, RESIN, PAINT)",4667,4667,P,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,400 GALIBEAU STREET,THURSO,QUEBEC,CANADA,45.6024895,-75.2441864,toluene,"WASTE FLAMMABLE SOLIDS, ORGANIC, NOS (PAINT FILTER)",4916,4916,P,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,400 GALIBEAU STREET,THURSO,QUEBEC,CANADA,45.6024895,-75.2441864,toluene,"WASTE NON HAZARDOUS, NON DOT REGULATED MATERIAL (PAINT FILTER)",561,561,P,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,400 GALIBEAU STREET,THURSO,QUEBEC,CANADA,45.6024895,-75.2441864,toluene,WASTE PAINT,22218,22218,P,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,400 GALIBEAU STREET,THURSO,QUEBEC,CANADA,45.6024895,-75.2441864,toluene,"WASTE FLAMMABLE SOLIDS, ORGANIC, NOS (PAINT FILTER)",919,919,P,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,400 GALIBEAU STREET,THURSO,QUEBEC,CANADA,45.6024895,-75.2441864,toluene,WASTE PAINT,20025,20025,P,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,400 GALIBEAU STREET,THURSO,QUEBEC,CANADA,45.6024895,-75.2441864,toluene,"WASTE FLAMMABLE LIQUIDS, TOXIC, NOS (METHANOL, PAINT)",771,771,P,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,400 GALIBEAU STREET,THURSO,QUEBEC,CANADA,45.6024895,-75.2441864,toluene,"WASTE FLAMMABLE LIQUIDS, NOS (PAINT, TAR, GLUE)",1862,1862,P,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,400 GALIBEAU STREET,THURSO,QUEBEC,CANADA,45.6024895,-75.2441864,toluene,"WASTE FLAMMABLE LIQUIDS, NOS (PAINT, TAR, GLUE)",14348,14348,P,H141,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,400 GALIBEAU STREET,THURSO,QUEBEC,CANADA,45.6024895,-75.2441864,toluene,"WASTE FLAMMABLE LIQUIDS, NOS (PAINT, TAR, GLUE)",11311,11311,P,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,400 GALIBEAU STREET,THURSO,QUEBEC,CANADA,45.6024895,-75.2441864,toluene,"WASTE FLAMMABLE LIQUIDS, NOS (PAINT, TAR, GLUE)",1540,1540,P,H141,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,400 GALIBEAU STREET,THURSO,QUEBEC,CANADA,45.6024895,-75.2441864,toluene,WASTE PAINT RELATED MATERIAL,511,511,P,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,400 GALIBEAU STREET,THURSO,QUEBEC,CANADA,45.6024895,-75.2441864,toluene,"WASTE FLAMMABLE LIQUIDS, NOS (ROOFING TAR/PAINT, ADHESIVES)",22865,22865,P,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,400 GALIBEAU STREET,THURSO,QUEBEC,CANADA,45.6024895,-75.2441864,toluene,"WASTE FLAMMABLE LIQUIDS, NOS (ROOFING TAR/PAINT, ADHESIVES)",27391,27391,P,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT RELATED MATERIAL,412,412,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,"WASTE FLAMMABLE LIQUIDS, NOS (INK/PAINT)",1442,1442,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT RELATED MATERIAL (DISPERSIBLE PAINT SOLIDS),824,824,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT RELATED MATERIAL,412,412,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT RELATED MATERIAL (DISPERSIBLE PAINT SLUDGE),618,618,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT RELATED MATERIAL (PAINT SLUDGE),1030,1030,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT (DISPERSIBLE PAINT SOLIDS),1442,1442,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT,1030,1030,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT (PAINT WITH XYLENE/MEK),12360,12360,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT RELATED MATERIAL (PAINT WITH XYLENE/MEK),1854,1854,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,"WASTE FLAMMABLE LIQUIDS, NOS (PAINT SLUDGE)",412,412,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT RELATED MATERIAL (DISPERSIBLE PAINT SOLIDS),824,824,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT RELATED MATERIAL )PAINT WITH METHYL ETHYL KETONE),206,206,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,"WASTE FLAMMABLE LIQUIDS, NOS (PAINT SLUDGE WITH CLEANSERS)",412,412,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT (PAINT SLUDGE),206,206,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT RELATED MATERIAL,206,206,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT RELATED MATERIAL (PAINT WITH XYLENE),412,412,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT (PAINT WITH MEK/XYLENE),5562,5562,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT RELATED MATERIAL (PAINT WITH MEK/XYLENE),824,824,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,"WASTE FLAMMABLE LIQUIDS, NOS (PAINT SLUDGE WITH CLEANSERS)",208,208,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT RELATED MATERIAL,1442,1442,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT,824,824,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT RELATED MATERIAL,2472,2472,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT (PAINT SLUDGE),1236,1236,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT RELATED MATERIAL (DISPERSIBLE PAINT SOLIDS),412,412,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT RELATED MATERIAL (DISPERSIBLE PAINT SOLIDS),206,206,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,"WASTE SOLIDS CONTAINING FLAMMABLE LIQUID, NOS (PAINT)",3296,3296,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT,206,206,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT,8117,8117,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT RELATED MATERIAL,423,423,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT,679,679,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,"WASTE FLAMMABLE LIQUIDS, NOS (PAINT)",206,206,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT RELATED MATERIAL (GELLED PAINT),412,412,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,"WASTE SOLIDS CONTAINING FLAMMABLE LIQUIDS, NOS (DISPERSIBLE PAINT SOLIDS)",1030,1030,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,"WASTE SOLIDS CONTAINING FLAMMABLE LIQUID, NOS (DISPERSIBLE PAINT SOLIDS)",6044,6044,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT RELATED MATERIAL (PAINT),250,250,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT,2000,2000,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT RELATED MATERIAL,6450,6450,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT (PAINT SLUDGE),800,800,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT RELATED MATERIAL (PAINT WITH TOLUENE),255,255,K,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT,11400,11400,L,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT RELATED MATERIAL,3200,3200,L,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT,471,471,L,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT,200,200,L,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT,10701,10701,L,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS CANADA INC,561 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981918,-79.6267548,toluene,WASTE PAINT,1800,1800,L,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS QUEBEC INC,400 GALIBEAU STREET,THURSO,QUEBEC,CANADA,45.6024895,-75.2441864,toluene,WASTE PAINT RELATED MATERIAL,2145,2145,G,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
CLEAN HARBORS QUEBEC INC,400 GALIBEAU STREET,THURSO,QUEBEC,CANADA,45.6024895,-75.2441864,toluene,WASTE PAINT RELATED MATERIAL,495,495,G,H061,45232,OHD00816629,SPRING GROVE RESOURCE RECOVERY INC,4879 SPRING GROVE AVENUE,CINCINNATI,OH,39.170097,-84.509186
